101,         (0x0061 + kbdm_KBD_PAGE   ), "KP 9"
102,         (0x005E + kbdm_KBD_PAGE   ), "KP 6"
103,         (0x005B + kbdm_KBD_PAGE   ), "KP 3"
104,         (0x0063 + kbdm_KBD_PAGE   ), "KP ."
105,         (0x0056 + kbdm_KBD_PAGE   ), "KP -"
106,         (0x0057 + kbdm_KBD_PAGE   ), "KP +"
107,         (0x00XX + kbdm_KBD_PAGE   ), "KP ,"
108,         (0x0058 + kbdm_KBD_PAGE   ), "KP Enter"
110,         (0x0029 + kbdm_KBD_PAGE   ), "Esc"
112,         (0x003A + kbdm_KBD_PAGE   ), "F1"
113,         (0x003B + kbdm_KBD_PAGE   ), "F2"
114,         (0x003C + kbdm_KBD_PAGE   ), "F3"
115,         (0x003D + kbdm_KBD_PAGE   ), "F4"
116,         (0x003E + kbdm_KBD_PAGE   ), "F5"
117,         (0x003F + kbdm_KBD_PAGE   ), "F6"
118,         (0x0040 + kbdm_KBD_PAGE   ), "F7"
119,         (0x0041 + kbdm_KBD_PAGE   ), "F8"
120,         (0x0042 + kbdm_KBD_PAGE   ), "F9"
121,         (0x0043 + kbdm_KBD_PAGE   ), "F10"
122,         (0x0044 + kbdm_KBD_PAGE   ), "F11"
123,         (0x0045 + kbdm_KBD_PAGE   ), "F12"
124,         (0x0046 + kbdm_KBD_PAGE   ), "PrntScrn"
125,         (0x0047 + kbdm_KBD_PAGE   ), "ScrLck"
126,         (0x0048 + kbdm_KBD_PAGE   ), "PauseBrk"
131,         (0x0065 + kbdm_KBD_PAGE   ), "App"
132,         (0x008B + kbdm_KBD_PAGE   ), "Muhenkan"
133,         (0x008A + kbdm_KBD_PAGE   ), "Henkan"
134,         (0x0088 + kbdm_KBD_PAGE   ), "KataHira"
135,         (0x0091 + kbdm_KBD_PAGE   ), "Hanja"
136,         (0x0090 + kbdm_KBD_PAGE   ), "Hanguel"
137,         (0x0067 + kbdm_KBD_PAGE   ), "KP="
141,         (0x00XX + kbdm_KBD_PAGE   ), "L-Button"
142,         (0x00XX + kbdm_KBD_PAGE   ), "R-Button"
143,         (0x00XX + kbdm_KBD_PAGE   ), "M-Button"
151,         (0x002C + kbdm_BUTTON_PAGE), "L-Fn"
152,         (0x002C + kbdm_BUTTON_PAGE), "R-Fn"
154,                                 H31, "H31"
155,                                 H32, "H32"
156,                                  H1, "H1"
263,         (0x002C + kbdm_BUTTON_PAGE), "FnKeyMAC"
264,         (0x0068 + kbdm_KBD_PAGE   ), "F13"
265,         (0x0069 + kbdm_KBD_PAGE   ), "F14"
266,         (0x006A + kbdm_KBD_PAGE   ), "F15"
267,         (0x006B + kbdm_KBD_PAGE   ), "F16"
268,         (0x006C + kbdm_KBD_PAGE   ), "F17"
269,         (0x006D + kbdm_KBD_PAGE   ), "F18"
270,         (0x006E + kbdm_KBD_PAGE   ), "F19"
271,         (0x006F + kbdm_BUTTON_PAGE), "Bright-"
272,         (0x006E + kbdm_BUTTON_PAGE), "Bright+"
273,         (0x003E + kbdm_BUTTON_PAGE), "Present"
274,         (0x003D + kbdm_BUTTON_PAGE), "Dashbrd"
275,         (0x0045 + kbdm_BUTTON_PAGE), "F5"
276,         (0x0046 + kbdm_BUTTON_PAGE), "F6"
277,         (0x0000 + kbdm_UNDEF_PAGE ), "Prev Track"
278,         (0x00CD + kbdm_CONSUM_PAGE), "Play / Pause"
279,         (0x0000 + kbdm_UNDEF_PAGE ), "Next Track"
280,         (0x00E2 + kbdm_CONSUM_PAGE), "Mute"
281,         (0x00EA + kbdm_CONSUM_PAGE), "Vol-"
282,         (0x00E9 + kbdm_CONSUM_PAGE), "Vol+"
283,         (0x006B + kbdm_BUTTON_PAGE), "CoverFlow"
284,         (0x006C + kbdm_BUTTON_PAGE), "QuickLook"
285,         (0x006D + kbdm_BUTTON_PAGE), "Spaces"
286,         (0x0183 + kbdm_CONSUM_PAGE), "iTunes"
287,         (0x018A + kbdm_CONSUM_PAGE), "Email"
289,         (0x0192 + kbdm_CONSUM_PAGE), "iCalc"
400,         (0x00D8 + kbdm_KBD_PAGE   ), "Keypad Clear"
401,         (0x00B6 + kbdm_KBD_PAGE   ), "Keypad Left Parenthesis"
402,         (0x00B7 + kbdm_KBD_PAGE   ), "Keypad Right Parenthesis"
409,         (0x0001 + kbdm_CONSUM_PAGE), "Consumer Control"
410,         (0x0002 + kbdm_CONSUM_PAGE), "Numeric Key Pad"
411,         (0x0003 + kbdm_CONSUM_PAGE), "Programmable Buttons"
412,         (0x0004 + kbdm_CONSUM_PAGE), "Microphone"
413,         (0x0005 + kbdm_CONSUM_PAGE), "Headphone"
414,         (0x0006 + kbdm_CONSUM_PAGE), "Graphic Equalizer"
415,         (0x0020 + kbdm_CONSUM_PAGE), "+10"
416,         (0x0021 + kbdm_CONSUM_PAGE), "+100"
417,         (0x0022 + kbdm_CONSUM_PAGE), "AM/PM"
418,         (0x0030 + kbdm_CONSUM_PAGE), "Power"
419,         (0x0031 + kbdm_CONSUM_PAGE), "Reset"
420,         (0x0032 + kbdm_CONSUM_PAGE), "Sleep"
421,         (0x0033 + kbdm_CONSUM_PAGE), "Sleep After"
422,         (0x0034 + kbdm_CONSUM_PAGE), "Sleep Mode"
423,         (0x0035 + kbdm_CONSUM_PAGE), "Illumination"
424,         (0x0036 + kbdm_CONSUM_PAGE), "Function Buttons"
425,         (0x0040 + kbdm_CONSUM_PAGE), "Menu"
426,         (0x0041 + kbdm_CONSUM_PAGE), "Menu Pick"
427,         (0x0042 + kbdm_CONSUM_PAGE), "Menu Up"
428,         (0x0043 + kbdm_CONSUM_PAGE), "Menu Down"
429,         (0x0044 + kbdm_CONSUM_PAGE), "Menu Left"
430,         (0x0045 + kbdm_CONSUM_PAGE), "Menu Right"
431,         (0x0046 + kbdm_CONSUM_PAGE), "Menu Escape"
432,         (0x0047 + kbdm_CONSUM_PAGE), "Menu Value Increase"
433,         (0x0048 + kbdm_CONSUM_PAGE), "Menu Value Decrease"
434,         (0x0060 + kbdm_CONSUM_PAGE), "Data On Screen"
435,         (0x0061 + kbdm_CONSUM_PAGE), "Closed Caption"
436,         (0x0062 + kbdm_CONSUM_PAGE), "Closed Caption Select"
437,         (0x0063 + kbdm_CONSUM_PAGE), "VCR/TV"
438,         (0x0064 + kbdm_CONSUM_PAGE), "Broadcast Mode"
439,         (0x0065 + kbdm_CONSUM_PAGE), "Snapshot"
440,         (0x0066 + kbdm_CONSUM_PAGE), "Still"
441,         (0x0080 + kbdm_CONSUM_PAGE), "Selection"
442,         (0x0081 + kbdm_CONSUM_PAGE), "Assign Selection"
443,         (0x0082 + kbdm_CONSUM_PAGE), "Mode Step"
444,         (0x0083 + kbdm_CONSUM_PAGE), "Recall Last"
445,         (0x0084 + kbdm_CONSUM_PAGE), "Enter Channel"
446,         (0x0085 + kbdm_CONSUM_PAGE), "Order Movie"
447,         (0x0086 + kbdm_CONSUM_PAGE), "Channel"
448,         (0x0087 + kbdm_CONSUM_PAGE), "Media Selection"
449,         (0x0088 + kbdm_CONSUM_PAGE), "Media Select Computer"
450,         (0x0089 + kbdm_CONSUM_PAGE), "Media Select TV"
451,         (0x008A + kbdm_CONSUM_PAGE), "Media Select WWW"
452,         (0x008B + kbdm_CONSUM_PAGE), "Media Select DVD"
453,         (0x008C + kbdm_CONSUM_PAGE), "Media Select Telephone"
454,         (0x008D + kbdm_CONSUM_PAGE), "Media Select Program Guide"
455,         (0x008E + kbdm_CONSUM_PAGE), "Media Select Video Phone"
456,         (0x008F + kbdm_CONSUM_PAGE), "Media Select Games"
457,         (0x0090 + kbdm_CONSUM_PAGE), "Media Select Messages"
458,         (0x0091 + kbdm_CONSUM_PAGE), "Media Select CD"
459,         (0x0092 + kbdm_CONSUM_PAGE), "Media Select VCR"
460,         (0x0093 + kbdm_CONSUM_PAGE), "Media Select Tuner"
461,         (0x0094 + kbdm_CONSUM_PAGE), "Quit"
462,         (0x0095 + kbdm_CONSUM_PAGE), "Help"
463,         (0x0096 + kbdm_CONSUM_PAGE), "Media Select Tape"
464,         (0x0097 + kbdm_CONSUM_PAGE), "Media Select Cable"
465,         (0x0098 + kbdm_CONSUM_PAGE), "Media Select Satellite"
466,         (0x0099 + kbdm_CONSUM_PAGE), "Media Select Security"
467,         (0x009A + kbdm_CONSUM_PAGE), "Media Select Home"
468,         (0x009B + kbdm_CONSUM_PAGE), "Media Select Call"
469,         (0x009C + kbdm_CONSUM_PAGE), "Channel Increment"
470,         (0x009D + kbdm_CONSUM_PAGE), "Channel Decrement"
471,         (0x009E + kbdm_CONSUM_PAGE), "Media Select"
472,         (0x00A0 + kbdm_CONSUM_PAGE), "VCR Plus"
473,         (0x00A1 + kbdm_CONSUM_PAGE), "Once"
474,         (0x00A2 + kbdm_CONSUM_PAGE), "Daily"
475,         (0x00A3 + kbdm_CONSUM_PAGE), "Weekly"
476,         (0x00A4 + kbdm_CONSUM_PAGE), "Monthly"
477,         (0x00B0 + kbdm_CONSUM_PAGE), "Play"
478,         (0x00B1 + kbdm_CONSUM_PAGE), "Pause"
479,         (0x00B2 + kbdm_CONSUM_PAGE), "Record"
480,         (0x00B3 + kbdm_CONSUM_PAGE), "Fast Forward"
481,         (0x00B4 + kbdm_CONSUM_PAGE), "Rewind"
482,         (0x00B5 + kbdm_CONSUM_PAGE), "Scan Next Track"
483,         (0x00B6 + kbdm_CONSUM_PAGE), "Scan Previous Track"
484,         (0x00B7 + kbdm_CONSUM_PAGE), "Stop"
485,         (0x00B8 + kbdm_CONSUM_PAGE), "Eject"
486,         (0x00B9 + kbdm_CONSUM_PAGE), "Random Play"
487,         (0x00BA + kbdm_CONSUM_PAGE), "Select Disc"
488,         (0x00BB + kbdm_CONSUM_PAGE), "Enter Disc"
489,         (0x00BC + kbdm_CONSUM_PAGE), "Repeat"
490,         (0x00BD + kbdm_CONSUM_PAGE), "Tracking"
491,         (0x00BE + kbdm_CONSUM_PAGE), "Track Normal"
492,         (0x00BF + kbdm_CONSUM_PAGE), "Slow Tracking"
493,         (0x00C0 + kbdm_CONSUM_PAGE), "Frame Forward"
494,         (0x00C1 + kbdm_CONSUM_PAGE), "Frame Back"
495,         (0x00C2 + kbdm_CONSUM_PAGE), "Mark"
496,         (0x00C3 + kbdm_CONSUM_PAGE), "Clear Mark"
497,         (0x00C4 + kbdm_CONSUM_PAGE), "Repeat From Mark"
498,         (0x00C5 + kbdm_CONSUM_PAGE), "Return To Mark"
499,         (0x00C6 + kbdm_CONSUM_PAGE), "Search Mark Forward"
500,         (0x00C7 + kbdm_CONSUM_PAGE), "Search Mark Backwards"
501,         (0x00C8 + kbdm_CONSUM_PAGE), "Counter Reset"
502,         (0x00C9 + kbdm_CONSUM_PAGE), "Show Counter"
503,         (0x00CA + kbdm_CONSUM_PAGE), "Tracking Increment"
504,         (0x00CB + kbdm_CONSUM_PAGE), "Tracking Decrement"
505,         (0x00CC + kbdm_CONSUM_PAGE), "Stop/Eject"
506,         (0x00CD + kbdm_CONSUM_PAGE), "Play/Pause"
507,         (0x00CE + kbdm_CONSUM_PAGE), "Play/Skip"
508,         (0x00E0 + kbdm_CONSUM_PAGE), "Volume"
509,         (0x00E1 + kbdm_CONSUM_PAGE), "Balance"
510,         (0x00E2 + kbdm_CONSUM_PAGE), "Mute"
511,         (0x00E3 + kbdm_CONSUM_PAGE), "Bass"
512,         (0x00E4 + kbdm_CONSUM_PAGE), "Treble"
513,         (0x00E5 + kbdm_CONSUM_PAGE), "Bass Boost"
514,         (0x00E6 + kbdm_CONSUM_PAGE), "Surround Mode"
515,         (0x00E7 + kbdm_CONSUM_PAGE), "Loudness"
516,         (0x00E8 + kbdm_CONSUM_PAGE), "MPX"
517,         (0x00E9 + kbdm_CONSUM_PAGE), "Volume Increment"
518,         (0x00EA + kbdm_CONSUM_PAGE), "Volume Decrement"
519,         (0x00F0 + kbdm_CONSUM_PAGE), "Speed Select"
520,         (0x00F1 + kbdm_CONSUM_PAGE), "Playback Speed"
521,         (0x00F2 + kbdm_CONSUM_PAGE), "Standard Play"
522,         (0x00F3 + kbdm_CONSUM_PAGE), "Long Play"
523,         (0x00F4 + kbdm_CONSUM_PAGE), "Extended Play"
524,         (0x00F5 + kbdm_CONSUM_PAGE), "Slow"
525,         (0x0100 + kbdm_CONSUM_PAGE), "Fan Enable"
526,         (0x0101 + kbdm_CONSUM_PAGE), "Fan Speed"
527,         (0x0102 + kbdm_CONSUM_PAGE), "Light Enable"
528,         (0x0103 + kbdm_CONSUM_PAGE), "Light Illumination Level"
529,         (0x0104 + kbdm_CONSUM_PAGE), "Climate Control Enable"
530,         (0x0105 + kbdm_CONSUM_PAGE), "Room Temperature"
531,         (0x0106 + kbdm_CONSUM_PAGE), "Security Enable"
532,         (0x0109 + kbdm_CONSUM_PAGE), "Proximity"
533,         (0x010A + kbdm_CONSUM_PAGE), "Motion"
534,         (0x0150 + kbdm_CONSUM_PAGE), "Balance Right"
535,         (0x0151 + kbdm_CONSUM_PAGE), "Balance Left"
536,         (0x0152 + kbdm_CONSUM_PAGE), "Bass Increment"
537,         (0x0153 + kbdm_CONSUM_PAGE), "Bass Decrement"
538,         (0x0154 + kbdm_CONSUM_PAGE), "Treble Increment"
539,         (0x0155 + kbdm_CONSUM_PAGE), "Treble Decrement"
540,         (0x0160 + kbdm_CONSUM_PAGE), "Speaker System"
541,         (0x0161 + kbdm_CONSUM_PAGE), "Channel Left"
542,         (0x0162 + kbdm_CONSUM_PAGE), "Channel Right"
543,         (0x0163 + kbdm_CONSUM_PAGE), "Channel Center"
544,         (0x0164 + kbdm_CONSUM_PAGE), "Channel Front"
545,         (0x0165 + kbdm_CONSUM_PAGE), "Channel Center Front"
546,         (0x0166 + kbdm_CONSUM_PAGE), "Channel Side"
547,         (0x0167 + kbdm_CONSUM_PAGE), "Channel Surround"
548,         (0x0168 + kbdm_CONSUM_PAGE), "Channel Low Frequency Enhancement"
549,         (0x0169 + kbdm_CONSUM_PAGE), "Channel Top"
550,         (0x016A + kbdm_CONSUM_PAGE), "Channel Unknown"
551,         (0x0170 + kbdm_CONSUM_PAGE), "Sub-channel"
552,         (0x0171 + kbdm_CONSUM_PAGE), "Sub-channel Increment"
553,         (0x0172 + kbdm_CONSUM_PAGE), "Sub-channel Decrement"
554,         (0x0173 + kbdm_CONSUM_PAGE), "Alternate Audio Increment"
555,         (0x0174 + kbdm_CONSUM_PAGE), "Alternate Audio Decrement"
556,         (0x0180 + kbdm_CONSUM_PAGE), "Application Launch Buttons"
557,         (0x0181 + kbdm_CONSUM_PAGE), "AL Launch Button Configuration Tool"
558,         (0x0182 + kbdm_CONSUM_PAGE), "AL Programmable Button Configuration"
559,         (0x0183 + kbdm_CONSUM_PAGE), "AL Consumer Control Configuration"
560,         (0x0184 + kbdm_CONSUM_PAGE), "AL Word Processor"
561,         (0x0185 + kbdm_CONSUM_PAGE), "AL Text Editor"
562,         (0x0186 + kbdm_CONSUM_PAGE), "AL Spreadsheet"
563,         (0x0187 + kbdm_CONSUM_PAGE), "AL Graphics Editor"
564,         (0x0188 + kbdm_CONSUM_PAGE), "AL Presentation App"
565,         (0x0189 + kbdm_CONSUM_PAGE), "AL Database App"
566,         (0x018A + kbdm_CONSUM_PAGE), "AL Email Reader"
567,         (0x018B + kbdm_CONSUM_PAGE), "AL Newsreader"
568,         (0x018C + kbdm_CONSUM_PAGE), "AL Voicemail"
569,         (0x018D + kbdm_CONSUM_PAGE), "AL Contacts/Address Book"
570,         (0x018E + kbdm_CONSUM_PAGE), "AL Calendar/Schedule"
571,         (0x018F + kbdm_CONSUM_PAGE), "AL Task/Project Manager"
572,         (0x0190 + kbdm_CONSUM_PAGE), "AL Log/Journal/Timecard"
573,         (0x0191 + kbdm_CONSUM_PAGE), "AL Checkbook/Finance"
574,         (0x0192 + kbdm_CONSUM_PAGE), "AL Calculator"
575,         (0x0193 + kbdm_CONSUM_PAGE), "AL A/V Capture/Playback"
576,         (0x0194 + kbdm_CONSUM_PAGE), "AL Local Machine Browser"
577,         (0x0195 + kbdm_CONSUM_PAGE), "AL LAN/WAN Browser"
578,         (0x0196 + kbdm_CONSUM_PAGE), "AL Internet Browser"
579,         (0x0197 + kbdm_CONSUM_PAGE), "AL Remote Networking/ISP Connect"
580,         (0x0198 + kbdm_CONSUM_PAGE), "AL Network Conference"
581,         (0x0199 + kbdm_CONSUM_PAGE), "AL Network Chat"
582,         (0x019A + kbdm_CONSUM_PAGE), "AL Telephony/Dialer"
583,         (0x019B + kbdm_CONSUM_PAGE), "AL Logon"
584,         (0x019C + kbdm_CONSUM_PAGE), "AL Logoff"
585,         (0x019D + kbdm_CONSUM_PAGE), "AL Logon/Logoff"
586,         (0x019E + kbdm_CONSUM_PAGE), "AL Terminal Lock/Screensaver"
587,         (0x019F + kbdm_CONSUM_PAGE), "AL Control Panel"
588,         (0x01A0 + kbdm_CONSUM_PAGE), "AL Command Line Processor/Run"
589,         (0x01A1 + kbdm_CONSUM_PAGE), "AL Process/Task Manager"
590,         (0x01A2 + kbdm_CONSUM_PAGE), "AL Select Task/Application"
591,         (0x01A3 + kbdm_CONSUM_PAGE), "AL Next Task/Application"
592,         (0x01A4 + kbdm_CONSUM_PAGE), "AL Previous Task/Application"
593,         (0x01A5 + kbdm_CONSUM_PAGE), "AL Preemptive Halt Task/Application"
594,         (0x01A6 + kbdm_CONSUM_PAGE), "AL Integrated Help Center"
595,         (0x01A7 + kbdm_CONSUM_PAGE), "AL Documents"
596,         (0x01A8 + kbdm_CONSUM_PAGE), "AL Thesaurus"
597,         (0x01A9 + kbdm_CONSUM_PAGE), "AL Dictionary"
598,         (0x01AA + kbdm_CONSUM_PAGE), "AL Desktop"
599,         (0x01AB + kbdm_CONSUM_PAGE), "AL Spell Check"
600,         (0x01AC + kbdm_CONSUM_PAGE), "AL Grammar Check"
601,         (0x01AD + kbdm_CONSUM_PAGE), "AL Wireless Status"
602,         (0x01AE + kbdm_CONSUM_PAGE), "AL Keyboard Layout"
603,         (0x01AF + kbdm_CONSUM_PAGE), "AL Virus Protection"
604,         (0x01B0 + kbdm_CONSUM_PAGE), "AL Encryption"
605,         (0x01B1 + kbdm_CONSUM_PAGE), "AL Screen Saver"
606,         (0x01B2 + kbdm_CONSUM_PAGE), "AL Alarms"
607,         (0x01B3 + kbdm_CONSUM_PAGE), "AL Clock"
608,         (0x01B4 + kbdm_CONSUM_PAGE), "AL File Browser"
609,         (0x01B5 + kbdm_CONSUM_PAGE), "AL Power Status"
610,         (0x01B6 + kbdm_CONSUM_PAGE), "AL Image Browser"
611,         (0x01B7 + kbdm_CONSUM_PAGE), "AL Audio Browser"
612,         (0x01B8 + kbdm_CONSUM_PAGE), "AL Movie Browser"
613,         (0x01B9 + kbdm_CONSUM_PAGE), "AL Digital Rights Manager"
614,         (0x01BA + kbdm_CONSUM_PAGE), "AL Digital Wallet"
615,         (0x01BC + kbdm_CONSUM_PAGE), "AL Instant Messaging"
616,         (0x01BD + kbdm_CONSUM_PAGE), "AL OEM Features/Tips/Tutorial Browser"
617,         (0x01BE + kbdm_CONSUM_PAGE), "AL OEM Help"
618,         (0x01BF + kbdm_CONSUM_PAGE), "AL Online Community"
619,         (0x01C0 + kbdm_CONSUM_PAGE), "AL Entertainment Content Browser"
620,         (0x01C1 + kbdm_CONSUM_PAGE), "AL Online Shopping Browser"
621,         (0x01C2 + kbdm_CONSUM_PAGE), "AL SmartCard Information/Help"
622,         (0x01C3 + kbdm_CONSUM_PAGE), "AL Market Monitor/Finance Browser"
623,         (0x01C4 + kbdm_CONSUM_PAGE), "AL Customized Corporate News Browser"
624,         (0x01C5 + kbdm_CONSUM_PAGE), "AL Online Activity Browser"
625,         (0x01C6 + kbdm_CONSUM_PAGE), "AL Research/Search Browser"
626,         (0x01C7 + kbdm_CONSUM_PAGE), "AL Audio Player"
627,         (0x0200 + kbdm_CONSUM_PAGE), "Generic GUI Application Controls"
628,         (0x0201 + kbdm_CONSUM_PAGE), "AC New"
629,         (0x0202 + kbdm_CONSUM_PAGE), "AC Open"
630,         (0x0203 + kbdm_CONSUM_PAGE), "AC Close"
631,         (0x0204 + kbdm_CONSUM_PAGE), "AC Exit"
632,         (0x0205 + kbdm_CONSUM_PAGE), "AC Maximize"
633,         (0x0206 + kbdm_CONSUM_PAGE), "AC Minimize"
634,         (0x0207 + kbdm_CONSUM_PAGE), "AC Save"
635,         (0x0208 + kbdm_CONSUM_PAGE), "AC Print"
636,         (0x0209 + kbdm_CONSUM_PAGE), "AC Properties"
637,         (0x021A + kbdm_CONSUM_PAGE), "AC Undo"
638,         (0x021B + kbdm_CONSUM_PAGE), "AC Copy"
639,         (0x021C + kbdm_CONSUM_PAGE), "AC Cut"
640,         (0x021D + kbdm_CONSUM_PAGE), "AC Paste"
641,         (0x021E + kbdm_CONSUM_PAGE), "AC Select All"
642,         (0x021F + kbdm_CONSUM_PAGE), "AC Find"
643,         (0x0220 + kbdm_CONSUM_PAGE), "AC Find and Replace"
644,         (0x0221 + kbdm_CONSUM_PAGE), "AC Search"
645,         (0x0222 + kbdm_CONSUM_PAGE), "AC Go To"
646,         (0x0223 + kbdm_CONSUM_PAGE), "AC Home"
647,         (0x0224 + kbdm_CONSUM_PAGE), "AC Back"
648,         (0x0225 + kbdm_CONSUM_PAGE), "AC Forward"
649,         (0x0226 + kbdm_CONSUM_PAGE), "AC Stop"
650,         (0x0227 + kbdm_CONSUM_PAGE), "AC Refresh"
651,         (0x0228 + kbdm_CONSUM_PAGE), "AC Previous Link"
652,         (0x0229 + kbdm_CONSUM_PAGE), "AC Next Link"
653,         (0x022A + kbdm_CONSUM_PAGE), "AC Bookmarks"
654,         (0x022B + kbdm_CONSUM_PAGE), "AC History"
655,         (0x022C + kbdm_CONSUM_PAGE), "AC Subscriptions"
656,         (0x022D + kbdm_CONSUM_PAGE), "AC Zoom In"
657,         (0x022E + kbdm_CONSUM_PAGE), "AC Zoom Out"
658,         (0x022F + kbdm_CONSUM_PAGE), "AC Zoom"
659,         (0x0230 + kbdm_CONSUM_PAGE), "AC Full Screen View"
660,         (0x0231 + kbdm_CONSUM_PAGE), "AC Normal View"
661,         (0x0232 + kbdm_CONSUM_PAGE), "AC View Toggle"
662,         (0x0233 + kbdm_CONSUM_PAGE), "AC Scroll Up"
